子系统,文件,文件职责,当前状态,剩余功能/缺口,依赖或阻塞,优先级,备注
android,master-goods-android/app/src/test/java/com/zhihuiji/app/MainActivityLaunchExtrasTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/benchmark/build.gradle.kts,构建配置,文档/脚本支撑,性能基线工具已在位，但仍需真实设备/发布包跑出有效基线,真实设备与 release 环境,P2,benchmark 支撑
android,master-goods-android/benchmark/src/main/AndroidManifest.xml,功能文件,文档/脚本支撑,性能基线工具已在位，但仍需真实设备/发布包跑出有效基线,真实设备与 release 环境,P2,benchmark 支撑
android,master-goods-android/benchmark/src/main/java/com/zhihuiji/benchmark/AppMacrobenchmark.kt,Android Kotlin 模块,文档/脚本支撑,性能基线工具已在位，但仍需真实设备/发布包跑出有效基线,真实设备与 release 环境,P2,benchmark 支撑
android,master-goods-android/benchmark/src/main/java/com/zhihuiji/benchmark/BaselineProfileGenerator.kt,Android Kotlin 模块,文档/脚本支撑,性能基线工具已在位，但仍需真实设备/发布包跑出有效基线,真实设备与 release 环境,P2,benchmark 支撑
android,master-goods-android/benchmark/src/main/java/com/zhihuiji/benchmark/BenchmarkFlows.kt,Android Kotlin 模块,文档/脚本支撑,性能基线工具已在位，但仍需真实设备/发布包跑出有效基线,真实设备与 release 环境,P2,benchmark 支撑
android,master-goods-android/build.gradle.kts,构建配置,已完成待联调,构建配置已在用，剩余工作主要在真实 release/benchmark/部署验证,发布和构建环境验证,P3,构建配置
android,master-goods-android/core/.DS_Store,功能文件,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/common/DEVELOPMENT.md,模块开发说明,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/common/build.gradle.kts,构建配置,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/common/src/main/AndroidManifest.xml,功能文件,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/common/src/main/java/com/zhihuiji/core/common/MoneyFormatter.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/common/src/main/java/com/zhihuiji/core/common/ResultExt.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/common/src/main/java/com/zhihuiji/core/common/StatusLabels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/common/src/main/java/com/zhihuiji/core/common/TimeFormatter.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/common/src/main/java/com/zhihuiji/core/common/UiMessage.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/common/src/test/java/com/zhihuiji/core/common/ApiResponseExtTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/common/src/test/java/com/zhihuiji/core/common/MoneyFormatterTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/common/src/test/java/com/zhihuiji/core/common/StatusLabelsTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/database/.DS_Store,功能文件,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/DEVELOPMENT.md,模块开发说明,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/build.gradle.kts,构建配置,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/AndroidManifest.xml,功能文件,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/DatabaseModule.kt,Android 依赖注入模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/EntityMappers.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/ZhihuijiDatabase.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/dao/AgentAuditDao.kt,Android Room DAO,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/dao/AgentNotificationDao.kt,Android Room DAO,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/dao/CustomerDao.kt,Android Room DAO,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/dao/FinanceRecordDao.kt,Android Room DAO,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/dao/PayOrderDao.kt,Android Room DAO,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/dao/ProductDao.kt,Android Room DAO,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/dao/PurchaseOrderDao.kt,Android Room DAO,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/dao/SaleOrderDao.kt,Android Room DAO,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/dao/SupplierDao.kt,Android Room DAO,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/dao/SyncCursorDao.kt,Android Room DAO,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/AgentAuditEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/AgentNotificationEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/CustomerEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/FinanceRecordEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/PayOrderEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/ProductEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/PurchaseOrderEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/SaleOrderEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/SaleOrderItemEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/SaleOrderWithItems.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/SupplierEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/database/src/main/java/com/zhihuiji/core/database/entity/SyncCursorEntity.kt,Android 本地实体,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/datastore/DEVELOPMENT.md,模块开发说明,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/datastore/build.gradle.kts,构建配置,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/datastore/src/main/AndroidManifest.xml,功能文件,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/datastore/src/main/java/com/zhihuiji/core/datastore/DataStoreModule.kt,Android 依赖注入模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/datastore/src/main/java/com/zhihuiji/core/datastore/SecureSessionCipher.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/datastore/src/main/java/com/zhihuiji/core/datastore/SessionStore.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/datastore/src/main/java/com/zhihuiji/core/datastore/SettingsStore.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/datastore/src/main/java/com/zhihuiji/core/datastore/SyncPreferenceStore.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/datastore/src/test/java/com/zhihuiji/core/datastore/SettingsStoreTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/designsystem/DEVELOPMENT.md,模块开发说明,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/build.gradle.kts,构建配置,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/AndroidManifest.xml,功能文件,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/BottomActionBar.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/BusinessListItem.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/ChartCard.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/DangerOutlineButton.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/DocumentChromeSpacing.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/DocumentListCard.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/EmptyState.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/FilterChipRow.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/FloatingGlassActionButton.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/GlassScaffold.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/GlassTextField.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/GlassTopBar.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
