序号,文件路径,相对路径,类或对象,函数名,函数类型,起始行,结束行,行数,职责摘要,副作用,调用方,发现问题编号,重复实现编号,审阅方式,状态,备注
37,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,userId,ts,156,162,7,"调用: trim, Number",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
38,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,payload,ts,157,162,6,"调用: trim, Number",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
39,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,formatTime,ts,186,193,8,"调用: formatTime, Date, toLocaleString",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
40,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,escapeHtml,ts,195,202,8,"调用: escapeHtml, String, replaceAll",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
41,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,initBackground,ts,204,300,97,"调用: initBackground, getElementById, getContext, resize, max, floor",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
42,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,canvas,ts,205,208,4,调用: getElementById,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
43,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,ctx,ts,209,212,4,调用: getContext,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
44,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,particles,ts,214,215,2,纯本地逻辑,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
45,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,mouse,ts,215,215,1,纯本地逻辑,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
46,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,resize,ts,217,232,16,"调用: resize, max, floor, push, random",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
47,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,count,ts,221,231,11,"调用: max, floor, push, random",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
48,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,draw,ts,234,291,58,"调用: draw, clearRect, createRadialGradient, addColorStop, rgba, fillRect",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
49,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,bg,ts,237,288,52,"调用: createRadialGradient, addColorStop, rgba, fillRect, beginPath, arc",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
50,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,particle,ts,252,258,7,纯本地逻辑,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
51,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,glow,ts,263,264,2,"调用: createRadialGradient, addColorStop, rgba",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
52,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,next,ts,272,278,7,调用: sqrt,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
53,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,dx,ts,273,278,6,调用: sqrt,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
54,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,dy,ts,274,278,5,调用: sqrt,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
55,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,distance,ts,275,278,4,调用: sqrt,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
56,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,mouseDistance,ts,279,281,3,"调用: sqrt, rgba",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
57,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,opacity,ts,280,281,2,调用: rgba,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
58,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,handleError,ts,310,314,5,"调用: handleError, error, remove",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
59,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,target,ts,317,320,4,纯本地逻辑,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
60,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,button,ts,321,324,4,调用: closest,无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
61,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/bin/main/static/admin-console/app.js,Code/backend/bin/main/static/admin-console/app.js,app,user,ts,325,328,4,"调用: get, fillForm",无,见调用关系台账,ISSUE-017,DUP-003,深度审阅（命中 ISSUE 规则，已人工复核行号与调用链）,完成,已关联问题：ISSUE-017
62,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/ZhihuijiBackendApplication.java,Code/backend/src/main/java/com/zhihuiji/backend/ZhihuijiBackendApplication.java,ZhihuijiBackendApplication,main,method,11,13,3,"调用: main, run",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
63,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/AdminConflictException.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/AdminConflictException.java,AdminConflictException,AdminConflictException,method,5,7,3,调用: AdminConflictException,无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
64,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/ApiResponse.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/ApiResponse.java,ApiResponse,success,method,19,21,3,"调用: success, currentTimeMillis",无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
65,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/ApiResponse.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/ApiResponse.java,ApiResponse,failure,method,23,25,3,"调用: failure, currentTimeMillis",无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
66,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/BusinessException.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/BusinessException.java,BusinessException,BusinessException,method,6,9,4,调用: BusinessException,无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
67,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/BusinessException.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/BusinessException.java,BusinessException,BusinessException,method,11,14,4,调用: BusinessException,无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
68,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/BusinessException.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/BusinessException.java,BusinessException,getCode,method,16,18,3,调用: getCode,无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
69,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,GlobalExceptionHandler,GlobalExceptionHandler,method,37,40,4,调用: GlobalExceptionHandler,无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
70,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,GlobalExceptionHandler,GlobalExceptionHandler,method,43,46,4,调用: GlobalExceptionHandler,无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
71,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,GlobalExceptionHandler,handleValidation,method,49,53,5,"调用: handleValidation, getBindingResult, getFieldErrors, stream, findFirst, map",无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
72,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,GlobalExceptionHandler,handleConstraint,method,56,58,3,"调用: handleConstraint, badRequest, body, failure",无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
73,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,GlobalExceptionHandler,handleUnreadableBody,method,61,63,3,"调用: handleUnreadableBody, badRequest, body, failure",无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
74,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,GlobalExceptionHandler,handleTypeMismatch,method,66,68,3,"调用: handleTypeMismatch, badRequest, body, failure",无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
75,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,GlobalExceptionHandler,handleMissingParameter,method,71,73,3,"调用: handleMissingParameter, badRequest, body, failure",无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
76,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,GlobalExceptionHandler,handleMissingHeader,method,76,82,7,"调用: handleMissingHeader, equalsIgnoreCase, getHeaderName, status, body, failure",无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
77,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,GlobalExceptionHandler,handleMaxUploadSizeExceeded,method,85,88,4,"调用: handleMaxUploadSizeExceeded, status, body, failure, value",无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
78,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,Code/backend/src/main/java/com/zhihuiji/backend/api/common/GlobalExceptionHandler.java,GlobalExceptionHandler,handleMultipartException,method,91,94,4,"调用: handleMultipartException, badRequest, body, failure",无,见调用关系台账,,DUP-007,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
